date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:11	43309/43309	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2015:36:32%20GMT	https://demos.creative-tim.com/material-dashboard/pages/dashboard	C:/My%20Web%20Sites/admin_p/demos.creative-tim.com/material-dashboard/pages/dashboard.html	(from )
18:34:12	2176/2176	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Aug%202024%2013:04:23%20GMT	https://demos.creative-tim.com/robots.txt		(from )
18:34:12	373/373	---M--	200	added ('OK')	image/png	etag:%2264527f80-329%22	https://demos.creative-tim.com/material-dashboard/assets/img/apple-icon.png	C:/My%20Web%20Sites/admin_p/demos.creative-tim.com/material-dashboard/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-dashboard/pages/dashboard)
18:34:13	373/373	---M--	200	added ('OK')	image/png	etag:%2264527f80-329%22	https://demos.creative-tim.com/material-dashboard/assets/img/favicon.png	C:/My%20Web%20Sites/admin_p/demos.creative-tim.com/material-dashboard/assets/img/favicon.png	(from https://demos.creative-tim.com/material-dashboard/pages/dashboard)
18:34:14	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2017%20Aug%202024%2013:04:24%20GMT	https://s3.amazonaws.com/creativetim_bucket/products/450/original/material-dashboard.jpg	C:/My%20Web%20Sites/admin_p/s3.amazonaws.com/creativetim_bucket/products/450/original/material-dashboard.3.delayed	(from https://demos.creative-tim.com/material-dashboard/pages/dashboard)
18:34:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Aug%202024%2013:04:25%20GMT	http://demos.creative-tim.com/material-dashboard/pages/dashboard.html	C:/My%20Web%20Sites/admin_p/demos.creative-tim.com/material-dashboard/pages/dashboard.4.delayed	(from https://demos.creative-tim.com/material-dashboard/pages/dashboard)
18:34:14	43309/43309	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2015:36:32%20GMT	https://demos.creative-tim.com/material-dashboard/pages/dashboard.html	C:/My%20Web%20Sites/admin_p/demos.creative-tim.com/material-dashboard/pages/dashboard-2.html	(from https://demos.creative-tim.com/material-dashboard/pages/dashboard)
18:34:14	6612/6612	---MCZ	200	added ('OK')	text/css	etag:W/%2264527f80-2337%22	https://demos.creative-tim.com/material-dashboard/assets/css/nucleo-icons.css	C:/My%20Web%20Sites/admin_p/demos.creative-tim.com/material-dashboard/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/material-dashboard/pages/dashboard)
18:34:14	1113/1113	---MCZ	200	added ('OK')	text/css	etag:W/%2264527f80-8cd%22	https://demos.creative-tim.com/material-dashboard/assets/css/nucleo-svg.css	C:/My%20Web%20Sites/admin_p/demos.creative-tim.com/material-dashboard/assets/css/nucleo-svg.css	(from https://demos.creative-tim.com/material-dashboard/pages/dashboard)
18:34:15	9/9	---M--	403	error ('Forbidden')	text/html	date:Sat,%2017%20Aug%202024%2013:04:27%20GMT	https://kit.fontawesome.com/42d5adcbca.js	C:/My%20Web%20Sites/admin_p/kit.fontawesome.com/42d5adcbca.8.delayed	(from https://demos.creative-tim.com/material-dashboard/pages/dashboard)
18:34:15	409688/409688	---M-Z	200	added ('OK')	text/css	etag:W/%2264527f80-64058%22	https://demos.creative-tim.com/material-dashboard/assets/css/material-dashboard.min.css?v=3.1.0	C:/My%20Web%20Sites/admin_p/demos.creative-tim.com/material-dashboard/assets/css/material-dashboard.mine63c.css	(from https://demos.creative-tim.com/material-dashboard/pages/dashboard)
